x, y
0.03257328990228013, 0
0.12214983713355049, 0
0.2280130293159609, 0.11111111111111072
0.3583061889250814, 0.22222222222222232
0.4723127035830619, 0.22222222222222232
0.6921824104234527, 0.11111111111111072
0.8306188925081434, 0.11111111111111072
0.9283387622149837, 0.11111111111111072
1.1319218241042346, 0.22222222222222232
1.245928338762215, 0.11111111111111072
1.4495114006514658, 0.22222222222222232
1.6042345276872965, 0.5555555555555554
1.8159609120521174, 0.8888888888888884
1.9543973941368078, 1.4444444444444438
2.1172638436482085, 1.666666666666666
2.214983713355049, 1.666666666666666
2.3289902280130295, 1
2.4185667752442996, 0.22222222222222232
2.53257328990228, -1.2222222222222223
2.5895765472312706, -2.3333333333333335
2.6465798045602607, -3.2222222222222223
2.728013029315961, -3.888888888888889
2.8338762214983713, -4.777777777777778
2.923452768729642, -4.333333333333333
2.996742671009772, -3.5555555555555554
3.0374592833876224, -2.666666666666667
3.1026058631921827, -1.3333333333333335
3.1351791530944624, -0.44444444444444464
3.175895765472313, 0.44444444444444375
3.2166123778501627, 1.2222222222222214
3.273615635179153, 2.2222222222222214
3.3224755700325734, 3.333333333333332
3.3713355048859937, 3.777777777777777
3.420195439739414, 4.333333333333332
3.477198697068404, 4.333333333333332
3.5179153094462543, 3.777777777777777
3.5749185667752443, 2.8888888888888884
3.6074918566775245, 2.1111111111111107
3.6563517915309447, 0.8888888888888884
3.705211726384365, 0
3.770358306188925, -1.666666666666667
3.8599348534201954, -3.5555555555555554
3.8192182410423454, -3.111111111111111
3.9250814332247557, -3.888888888888889
3.965798045602606, -3.4444444444444446
4.006514657980456, -2.666666666666667
4.055374592833877, -2
4.087947882736157, -1.1111111111111112
4.112377850162867, -0.3333333333333339
4.136807817589577, 0.6666666666666661
4.193811074918567, 1.666666666666666
4.242671009771987, 2.5555555555555554
4.307817589576548, 3.777777777777777
4.364820846905538, 4.111111111111111
4.421824104234528, 3.5555555555555554
4.454397394136808, 2.7777777777777777
4.519543973941368, 1.2222222222222214
4.552117263843648, 0.33333333333333304
4.584690553745928, -0.666666666666667
4.625407166123779, -1.4444444444444446
4.6742671009771986, -2.3333333333333335
4.755700325732899, -2.4444444444444446
4.780130293159609, -2.111111111111111
4.780130293159609, -2.111111111111111
4.82084690553746, -1.5555555555555558
4.85342019543974, -0.7777777777777777
4.88599348534202, 0
4.9185667752443, 1
4.94299674267101, 1.5555555555555554
5, 2.333333333333333
5.04071661237785, 3.1111111111111107
5.0732899022801305, 3.666666666666666
5.138436482084691, 3.5555555555555554
5.187296416938111, 3
5.228013029315961, 2.4444444444444438
5.260586319218241, 1.4444444444444438
5.293159609120521, 0.33333333333333304
5.3257328990228014, -0.44444444444444464
5.358306188925082, -1.4444444444444446
5.407166123778501, -2
5.456026058631922, -2.2222222222222223
5.513029315960912, -2.111111111111111
5.561889250814333, -1.3333333333333335
5.594462540716613, -0.44444444444444464
5.659609120521173, 0.7777777777777777
5.741042345276873, 1.2222222222222214
5.814332247557004, 1
5.887622149837133, -0.1111111111111116
5.912052117263844, -0.8888888888888893
5.944625407166124, -1.7777777777777781
5.960912052117264, -2.666666666666667
5.985342019543974, -3.4444444444444446
6.026058631921824, -4.111111111111111
6.083061889250814, -4.777777777777778
6.140065146579805, -4.111111111111111
6.172638436482085, -3.3333333333333335
6.213355048859935, -2.3333333333333335
6.262214983713355, -1.5555555555555558
6.286644951140065, -0.5555555555555554
6.351791530944626, 0.44444444444444375
6.408794788273616, 0.7777777777777777
6.490228013029316, 0.5555555555555554
6.571661237785016, 0.33333333333333304
6.6612377850162865, -0.1111111111111116
6.726384364820847, 0.33333333333333304
6.7752442996742674, 1
6.824104234527687, 1.8888888888888884
6.872964169381108, 2.7777777777777777
6.913680781758957, 3.5555555555555554
6.995114006514658, 3.8888888888888893
7.043973941368078, 2.7777777777777777
7.1172638436482085, 1.666666666666666
7.149837133550489, 0.6666666666666661
7.206840390879479, 0
7.271986970684039, -0.5555555555555554
7.4267100977198695, -1
7.54071661237785, -1.5555555555555558
7.719869706840391, -1.8888888888888893
7.793159609120521, -1.2222222222222223
7.858306188925082, 0
7.931596091205212, 1.2222222222222214
8.004885993485342, 1.7777777777777777
8.078175895765472, 2.4444444444444438
8.159609120521173, 2.5555555555555554
8.232899022801304, 2
8.387622149837133, 1.333333333333333
8.469055374592834, 0.44444444444444375
8.526058631921824, -0.666666666666667
8.574918566775244, -1.4444444444444446
8.648208469055374, -2.111111111111111
8.802931596091206, -1.8888888888888893
8.868078175895766, -1.7777777777777781
8.957654723127035, -0.8888888888888893
9.006514657980457, 0.11111111111111072
9.079804560260586, 0.8888888888888884
9.128664495114007, 1.4444444444444438
9.185667752442997, 1.333333333333333
9.283387622149837, 0.6666666666666661
9.372964169381108, 0.22222222222222232
9.462540716612377, -0.5555555555555554
9.552117263843648, -1.4444444444444446
9.625407166123779, -3
9.739413680781759, -3.7777777777777777
9.78013029315961, -2.555555555555556
9.82084690553746, -1.4444444444444446
9.910423452768729, 0
